ID_CENSO;Date;SECTOR;Species;Individuals;Notes;Starting time;Finishing time;Cloudiness;Wind speed;Wind direction;Waves
CP19930802;02-ago-93;ZACA;Larus audouinii;17;4 subadultos, 6 inmaduros, 7 jævenes;10:20;9:55;0;1;NE;0
CP19930802;02-ago-93;ZACA;Larus fuscus;87;-;10:20;9:55;0;1;NE;0
CP19930802;02-ago-93;ZACA;Larus michahellis;27;-;10:20;9:55;0;1;NE;0
CP19930802;02-ago-93;ZACA;Milvus migrans;2;-;10:20;9:55;0;1;NE;0
CP19930802;02-ago-93;ZACA;Sterna sandvicensis;1;-;10:20;9:55;0;1;NE;0
CP19930809;09-ago-93;CAMA;Corvus corax;1;-;14:00;15:30;0;2;S;2
CP19930809;09-ago-93;CAMA;Haematopus ostralegus;2;-;14:00;15:30;0;2;S;2
CP19930809;09-ago-93;CAMA;Larus audouinii;3;1 inmaduro, 2 jævenes;14:00;15:30;0;2;S;2
CP19930809;09-ago-93;CAMA;Larus fuscus;60;-;14:00;15:30;0;2;S;2
CP19930809;09-ago-93;CAMA;Larus michahellis;23;-;14:00;15:30;0;2;S;2
CP19930809;09-ago-93;MAZA;Calidris alba;50;-;14:00;15:30;0;2;S;2
